38.434	79.901	4.000
39.538	77.673	4.000
42.249	72.772	4.000
42.651	65.644	4.000
44.859	70.545	4.000
47.871	62.970	4.000
48.474	58.960	4.000
53.695	63.416	4.000
54.096	52.277	4.000
59.618	55.842	4.000
62.831	50.941	4.000
66.847	60.743	4.000
38.417	94.478	4.000
41.523	91.791	4.000
42.425	91.343	4.000
46.032	87.313	4.000
46.433	80.597	4.000
49.539	77.015	4.000
52.445	68.507	4.000
53.547	67.612	4.000
58.056	67.164	4.000
59.760	62.239	4.000
62.866	64.478	4.000
67.275	59.104	4.000
67.675	57.313	4.000
75.291	60.000	4.000
75.691	54.627	4.000
85.711	50.149	4.000
87.415	59.552	4.000
87.415	59.552	4.000
